id,curriculum_id,cost,start_date,end_date,time_slot,max_students,active,location_id
1,1,125,2016-06-16,2016-06-20,am,8,t,2
2,5,125,2016-06-16,2016-06-20,am,8,t,3
3,1,125,2016-06-16,2016-06-20,pm,8,t,1
4,2,125,2016-06-16,2016-06-20,pm,8,t,3
5,1,125,2016-06-23,2016-06-27,am,8,t,3
6,2,125,2016-06-23,2016-06-27,am,8,t,4
7,1,125,2016-06-23,2016-06-27,pm,8,t,4
8,4,125,2016-06-23,2016-06-27,pm,8,t,2
9,1,125,2016-07-07,2016-07-11,am,8,t,4
10,5,125,2016-07-07,2016-07-11,am,8,t,2
11,1,125,2016-07-07,2016-07-11,pm,8,t,4
12,5,125,2016-07-07,2016-07-11,pm,8,t,2
13,2,125,2016-07-07,2016-07-11,pm,8,t,1
14,1,125,2016-07-21,2016-07-25,am,8,t,2
15,5,125,2016-07-21,2016-07-25,am,8,t,4
16,1,125,2016-07-21,2016-07-25,pm,8,t,3
17,4,125,2016-07-21,2016-07-25,pm,8,t,4
18,1,125,2016-07-28,2016-08-01,am,8,t,1
19,5,125,2016-07-28,2016-08-01,am,8,t,2
20,1,125,2016-07-28,2016-08-01,pm,8,t,4
21,4,125,2016-07-28,2016-08-01,pm,8,t,1
22,1,125,2016-08-04,2016-08-08,am,8,t,3
23,4,125,2016-08-04,2016-08-08,am,8,t,2
24,1,125,2016-08-04,2016-08-08,pm,8,t,3
25,2,125,2016-08-04,2016-08-08,pm,8,t,2
26,1,125,2016-08-11,2016-08-15,am,8,t,3
27,2,125,2016-08-11,2016-08-15,am,8,t,4
28,1,125,2016-08-11,2016-08-15,pm,8,t,2
29,4,125,2016-08-11,2016-08-15,pm,8,t,3
30,1,125,2016-08-18,2016-08-22,am,8,t,2
31,4,125,2016-08-18,2016-08-22,am,8,t,3
32,5,125,2016-08-18,2016-08-22,am,8,t,4
33,1,125,2016-08-18,2016-08-22,pm,8,t,2
34,2,125,2016-08-18,2016-08-22,pm,8,t,3
