id,curriculum_id,cost,start_date,end_date,time_slot,max_students,active,location_id
1,1,125,2016-06-16,2016-06-20,am,8,1,2
2,4,125,2016-06-16,2016-06-20,am,8,1,1
3,1,125,2016-06-16,2016-06-20,pm,8,1,4
4,4,125,2016-06-16,2016-06-20,pm,8,1,2
5,5,125,2016-06-16,2016-06-20,pm,8,1,3
6,1,125,2016-06-23,2016-06-27,am,8,1,4
7,4,125,2016-06-23,2016-06-27,am,8,1,2
8,1,125,2016-06-23,2016-06-27,pm,8,1,1
9,2,125,2016-06-23,2016-06-27,pm,8,1,4
10,1,125,2016-07-07,2016-07-11,am,8,1,1
11,5,125,2016-07-07,2016-07-11,am,8,1,4
12,1,125,2016-07-07,2016-07-11,pm,8,1,4
13,5,125,2016-07-07,2016-07-11,pm,8,1,2
14,1,125,2016-07-21,2016-07-25,am,8,1,1
15,5,125,2016-07-21,2016-07-25,am,8,1,4
16,1,125,2016-07-21,2016-07-25,pm,8,1,1
17,4,125,2016-07-21,2016-07-25,pm,8,1,2
18,1,125,2016-07-28,2016-08-01,am,8,1,2
19,2,125,2016-07-28,2016-08-01,am,8,1,1
20,1,125,2016-07-28,2016-08-01,pm,8,1,1
21,4,125,2016-07-28,2016-08-01,pm,8,1,2
22,1,125,2016-08-04,2016-08-08,am,8,1,1
23,2,125,2016-08-04,2016-08-08,am,8,1,4
24,1,125,2016-08-04,2016-08-08,pm,8,1,1
25,4,125,2016-08-04,2016-08-08,pm,8,1,3
26,5,125,2016-08-04,2016-08-08,pm,8,1,4
27,1,125,2016-08-11,2016-08-15,am,8,1,1
28,5,125,2016-08-11,2016-08-15,am,8,1,3
29,1,125,2016-08-11,2016-08-15,pm,8,1,4
30,2,125,2016-08-11,2016-08-15,pm,8,1,3
31,1,125,2016-08-18,2016-08-22,am,8,1,4
32,5,125,2016-08-18,2016-08-22,am,8,1,3
33,1,125,2016-08-18,2016-08-22,pm,8,1,1
34,2,125,2016-08-18,2016-08-22,pm,8,1,2
35,5,125,2016-08-18,2016-08-22,pm,8,1,4
