id,camp_id,student_id,payment_status,points_earned
1,1,1,deposit,0
2,1,2,deposit,0
3,1,3,deposit,0
4,1,4,deposit,0
5,1,5,deposit,0
6,1,6,full,0
7,1,7,full,0
8,1,8,full,0
9,3,9,deposit,0
10,3,10,deposit,0
11,3,11,full,0
12,3,12,full,0
13,3,13,full,0
14,3,14,deposit,0
15,3,15,full,0
16,3,16,deposit,0
17,6,17,deposit,0
18,6,18,full,0
19,6,19,deposit,0
20,6,20,deposit,0
21,6,21,deposit,0
22,6,22,full,0
23,6,23,full,0
24,6,24,deposit,0
25,8,25,deposit,0
26,8,26,deposit,0
27,8,27,full,0
28,8,28,deposit,0
29,8,29,deposit,0
30,8,30,full,0
31,8,31,full,0
32,8,32,deposit,0
33,10,33,deposit,0
34,10,34,deposit,0
35,10,35,deposit,0
36,10,36,deposit,0
37,10,37,full,0
38,10,38,deposit,0
39,10,39,full,0
40,10,40,full,0
41,12,41,deposit,0
42,12,42,full,0
43,12,43,full,0
44,12,44,deposit,0
45,12,45,full,0
46,12,46,deposit,0
47,12,47,deposit,0
48,12,48,deposit,0
49,14,49,deposit,0
50,14,50,deposit,0
51,14,51,full,0
52,14,52,full,0
53,14,53,full,0
54,14,54,full,0
55,14,55,full,0
56,16,56,full,0
57,16,57,deposit,0
58,16,58,deposit,0
59,16,59,deposit,0
60,16,60,full,0
61,16,61,deposit,0
62,16,62,full,0
63,20,63,full,0
64,20,64,deposit,0
65,20,65,full,0
66,20,66,full,0
67,20,67,full,0
68,20,68,deposit,0
69,20,69,deposit,0
70,20,70,full,0
71,18,71,deposit,0
72,18,72,full,0
73,18,73,deposit,0
74,18,74,deposit,0
75,18,75,full,0
76,18,76,deposit,0
77,18,77,full,0
78,22,78,full,0
79,22,79,deposit,0
80,22,80,full,0
81,22,81,full,0
82,22,82,full,0
83,22,83,deposit,0
84,22,84,deposit,0
85,24,85,full,0
86,24,86,deposit,0
87,24,87,full,0
88,24,88,deposit,0
89,24,89,full,0
90,24,90,deposit,0
91,24,91,full,0
92,27,92,full,0
93,27,93,full,0
94,27,94,deposit,0
95,27,95,deposit,0
96,27,96,deposit,0
97,27,97,full,0
98,27,98,full,0
99,29,99,full,0
100,29,100,full,0
101,29,101,full,0
102,29,102,full,0
103,29,103,deposit,0
104,29,104,deposit,0
105,29,105,full,0
106,29,106,deposit,0
107,31,107,deposit,0
108,31,108,full,0
109,31,109,deposit,0
110,31,110,full,0
111,31,111,deposit,0
112,31,112,deposit,0
113,31,113,deposit,0
114,33,114,deposit,0
115,33,115,deposit,0
116,33,116,full,0
117,33,117,full,0
118,33,118,full,0
119,33,119,deposit,0
120,33,120,full,0
121,9,121,deposit,0
122,9,122,deposit,0
123,9,123,full,0
124,9,124,full,0
125,9,125,full,0
126,9,126,full,0
127,9,127,full,0
128,9,128,full,0
129,19,129,full,0
130,19,130,deposit,0
131,19,131,deposit,0
132,19,132,deposit,0
133,19,133,deposit,0
134,19,134,deposit,0
135,19,135,deposit,0
136,19,136,full,0
137,23,137,full,0
138,23,138,deposit,0
139,23,139,deposit,0
140,23,140,deposit,0
141,23,141,deposit,0
142,23,142,full,0
143,23,143,deposit,0
144,30,144,full,0
145,30,145,full,0
146,30,146,deposit,0
147,30,147,full,0
148,30,148,deposit,0
149,30,149,deposit,0
150,30,150,deposit,0
151,34,151,full,0
152,34,152,full,0
153,34,153,deposit,0
154,34,154,deposit,0
155,34,155,full,0
156,34,156,deposit,0
157,34,157,full,0
158,34,158,deposit,0
159,2,159,full,0
160,2,160,deposit,0
161,2,161,deposit,0
162,2,162,full,0
163,2,163,deposit,0
164,2,164,full,0
165,2,165,deposit,0
166,2,166,full,0
167,4,167,deposit,0
168,4,168,deposit,0
169,4,169,full,0
170,4,170,full,0
171,4,171,full,0
172,4,172,deposit,0
173,4,173,deposit,0
174,4,174,deposit,0
175,7,175,full,0
176,7,176,deposit,0
177,7,177,deposit,0
178,7,178,deposit,0
179,7,179,full,0
180,7,180,full,0
181,17,181,full,0
182,17,182,full,0
183,17,183,deposit,0
184,17,184,full,0
185,17,185,full,0
186,17,186,deposit,0
187,21,187,full,0
188,21,188,deposit,0
189,21,189,deposit,0
190,21,190,full,0
191,21,191,deposit,0
192,21,192,deposit,0
193,21,193,full,0
194,25,194,full,0
195,25,195,full,0
196,25,196,deposit,0
197,25,197,full,0
198,25,198,full,0
199,25,199,full,0
200,25,200,full,0
