id,curriculum_id,cost,start_date,end_date,time_slot,max_students,active,location_id
1,1,125,2016-06-16,2016-06-20,am,8,1,4
2,5,125,2016-06-16,2016-06-20,am,8,1,3
3,1,125,2016-06-16,2016-06-20,pm,8,1,1
4,5,125,2016-06-16,2016-06-20,pm,8,1,3
5,1,125,2016-06-23,2016-06-27,am,8,1,2
6,4,125,2016-06-23,2016-06-27,am,8,1,4
7,2,125,2016-06-23,2016-06-27,am,8,1,1
8,1,125,2016-06-23,2016-06-27,pm,8,1,2
9,4,125,2016-06-23,2016-06-27,pm,8,1,4
10,1,125,2016-07-07,2016-07-11,am,8,1,3
11,4,125,2016-07-07,2016-07-11,am,8,1,4
12,1,125,2016-07-07,2016-07-11,pm,8,1,4
13,4,125,2016-07-07,2016-07-11,pm,8,1,2
14,1,125,2016-07-21,2016-07-25,am,8,1,4
15,5,125,2016-07-21,2016-07-25,am,8,1,1
16,1,125,2016-07-21,2016-07-25,pm,8,1,3
17,2,125,2016-07-21,2016-07-25,pm,8,1,1
18,1,125,2016-07-28,2016-08-01,am,8,1,4
19,4,125,2016-07-28,2016-08-01,am,8,1,3
20,1,125,2016-07-28,2016-08-01,pm,8,1,3
21,2,125,2016-07-28,2016-08-01,pm,8,1,2
22,1,125,2016-08-04,2016-08-08,am,8,1,4
23,4,125,2016-08-04,2016-08-08,am,8,1,1
24,2,125,2016-08-04,2016-08-08,am,8,1,3
25,1,125,2016-08-04,2016-08-08,pm,8,1,3
26,2,125,2016-08-04,2016-08-08,pm,8,1,4
27,1,125,2016-08-11,2016-08-15,am,8,1,3
28,4,125,2016-08-11,2016-08-15,am,8,1,2
29,1,125,2016-08-11,2016-08-15,pm,8,1,2
30,5,125,2016-08-11,2016-08-15,pm,8,1,1
31,1,125,2016-08-18,2016-08-22,am,8,1,4
32,5,125,2016-08-18,2016-08-22,am,8,1,1
33,1,125,2016-08-18,2016-08-22,pm,8,1,2
34,5,125,2016-08-18,2016-08-22,pm,8,1,3
35,2,125,2016-08-18,2016-08-22,pm,8,1,4
