id,camp_id,student_id,payment_status,points_earned
1,1,1,full,0
2,1,2,full,0
3,1,3,full,0
4,1,4,full,0
5,1,5,deposit,0
6,1,6,deposit,0
7,1,7,deposit,0
8,3,8,deposit,0
9,3,9,full,0
10,3,10,deposit,0
11,3,11,deposit,0
12,3,12,full,0
13,3,13,full,0
14,3,14,deposit,0
15,5,15,full,0
16,5,16,deposit,0
17,5,17,full,0
18,5,18,deposit,0
19,5,19,full,0
20,5,20,deposit,0
21,5,21,full,0
22,8,22,full,0
23,8,23,full,0
24,8,24,deposit,0
25,8,25,full,0
26,8,26,full,0
27,8,27,full,0
28,8,28,full,0
29,10,29,full,0
30,10,30,deposit,0
31,10,31,full,0
32,10,32,deposit,0
33,10,33,full,0
34,10,34,full,0
35,10,35,deposit,0
36,10,36,deposit,0
37,12,37,full,0
38,12,38,deposit,0
39,12,39,deposit,0
40,12,40,full,0
41,12,41,full,0
42,12,42,deposit,0
43,12,43,deposit,0
44,14,44,deposit,0
45,14,45,deposit,0
46,14,46,deposit,0
47,14,47,deposit,0
48,14,48,deposit,0
49,14,49,deposit,0
50,14,50,deposit,0
51,14,51,full,0
52,16,52,full,0
53,16,53,full,0
54,16,54,deposit,0
55,16,55,full,0
56,16,56,full,0
57,16,57,deposit,0
58,16,58,full,0
59,20,59,deposit,0
60,20,60,full,0
61,20,61,deposit,0
62,20,62,deposit,0
63,20,63,deposit,0
64,20,64,full,0
65,20,65,deposit,0
66,18,66,full,0
67,18,67,deposit,0
68,18,68,full,0
69,18,69,deposit,0
70,18,70,deposit,0
71,18,71,full,0
72,18,72,deposit,0
73,18,73,full,0
74,22,74,full,0
75,22,75,full,0
76,22,76,deposit,0
77,22,77,full,0
78,22,78,full,0
79,22,79,deposit,0
80,22,80,full,0
81,22,81,deposit,0
82,25,82,deposit,0
83,25,83,full,0
84,25,84,deposit,0
85,25,85,full,0
86,25,86,full,0
87,25,87,full,0
88,25,88,deposit,0
89,25,89,full,0
90,27,90,full,0
91,27,91,full,0
92,27,92,deposit,0
93,27,93,full,0
94,27,94,deposit,0
95,27,95,full,0
96,27,96,deposit,0
97,27,97,full,0
98,29,98,deposit,0
99,29,99,deposit,0
100,29,100,full,0
101,29,101,full,0
102,29,102,full,0
103,29,103,full,0
104,29,104,deposit,0
105,29,105,deposit,0
106,31,106,full,0
107,31,107,deposit,0
108,31,108,full,0
109,31,109,deposit,0
110,31,110,deposit,0
111,31,111,deposit,0
112,31,112,full,0
113,33,113,deposit,0
114,33,114,deposit,0
115,33,115,full,0
116,33,116,full,0
117,33,117,deposit,0
118,33,118,deposit,0
119,33,119,full,0
120,7,120,full,0
121,7,121,full,0
122,7,122,full,0
123,7,123,deposit,0
124,7,124,deposit,0
125,7,125,full,0
126,7,126,full,0
127,7,127,deposit,0
128,17,128,deposit,0
129,17,129,full,0
130,17,130,deposit,0
131,17,131,deposit,0
132,17,132,full,0
133,17,133,deposit,0
134,17,134,full,0
135,21,135,full,0
136,21,136,full,0
137,21,137,deposit,0
138,21,138,full,0
139,21,139,deposit,0
140,21,140,deposit,0
141,21,141,deposit,0
142,21,142,full,0
143,24,143,full,0
144,24,144,full,0
145,24,145,full,0
146,24,146,deposit,0
147,24,147,full,0
148,24,148,full,0
149,24,149,full,0
150,24,150,full,0
151,26,151,deposit,0
152,26,152,deposit,0
153,26,153,full,0
154,26,154,deposit,0
155,26,155,deposit,0
156,26,156,deposit,0
157,26,157,full,0
158,26,158,deposit,0
159,35,159,deposit,0
160,35,160,full,0
161,35,161,full,0
162,35,162,deposit,0
163,35,163,full,0
164,35,164,full,0
165,35,165,full,0
166,6,166,deposit,0
167,6,167,full,0
168,6,168,full,0
169,6,169,full,0
170,6,170,deposit,0
171,6,171,deposit,0
172,9,172,full,0
173,9,173,full,0
174,9,174,full,0
175,9,175,full,0
176,9,176,full,0
177,9,177,deposit,0
178,9,178,full,0
179,11,179,deposit,0
180,11,180,deposit,0
181,11,181,deposit,0
182,11,182,full,0
183,11,183,full,0
184,11,184,deposit,0
185,13,185,full,0
186,13,186,deposit,0
187,13,187,deposit,0
188,13,188,deposit,0
189,13,189,full,0
190,13,190,deposit,0
191,13,191,full,0
192,13,192,deposit,0
193,19,193,deposit,0
194,19,194,deposit,0
195,19,195,deposit,0
196,19,196,deposit,0
197,19,197,full,0
198,19,198,deposit,0
199,19,199,deposit,0
200,23,200,deposit,0
201,23,201,deposit,0
202,23,202,full,0
203,23,203,deposit,0
204,23,204,deposit,0
205,23,205,full,0
206,23,206,deposit,0
207,23,207,full,0
208,28,208,full,0
209,28,209,deposit,0
210,28,210,deposit,0
211,28,211,deposit,0
212,28,212,full,0
