id,curriculum_id,cost,start_date,end_date,time_slot,max_students,active,location_id
1,1,125,2016-06-16,2016-06-20,am,8,t,3
2,5,125,2016-06-16,2016-06-20,am,8,t,4
3,1,125,2016-06-16,2016-06-20,pm,8,t,2
4,4,125,2016-06-16,2016-06-20,pm,8,t,4
5,1,125,2016-06-23,2016-06-27,am,8,t,2
6,2,125,2016-06-23,2016-06-27,am,8,t,4
7,1,125,2016-06-23,2016-06-27,pm,8,t,3
8,2,125,2016-06-23,2016-06-27,pm,8,t,1
9,1,125,2016-07-07,201167-11-01,am,8,t,2
10,2,125,2016-07-07,201167-11-01,am,8,t,3
11,5,125,2016-07-07,201167-11-01,am,8,t,1
12,1,125,2016-07-07,201167-11-01,pm,8,t,4
13,4,125,2016-07-07,201167-11-01,pm,8,t,2
14,1,125,2016-07-21,2016-07-25,am,8,t,1
15,5,125,2016-07-21,2016-07-25,am,8,t,3
16,4,125,2016-07-21,2016-07-25,am,8,t,4
17,1,125,2016-07-21,2016-07-25,pm,8,t,4
18,4,125,2016-07-21,2016-07-25,pm,8,t,3
19,1,125,2016-07-28,2016-08-01,am,8,t,2
20,4,125,2016-07-28,2016-08-01,am,8,t,1
21,5,125,2016-07-28,2016-08-01,am,8,t,3
22,1,125,2016-07-28,2016-08-01,pm,8,t,3
23,2,125,2016-07-28,2016-08-01,pm,8,t,4
24,1,125,2016-08-04,2016-08-08,am,8,t,1
25,4,125,2016-08-04,2016-08-08,am,8,t,4
26,1,125,2016-08-04,2016-08-08,pm,8,t,1
27,4,125,2016-08-04,2016-08-08,pm,8,t,3
28,1,125,2016-08-11,2016-08-15,am,8,t,2
29,2,125,2016-08-11,2016-08-15,am,8,t,4
30,1,125,2016-08-11,2016-08-15,pm,8,t,2
31,4,125,2016-08-11,2016-08-15,pm,8,t,1
32,1,125,2016-08-18,2016-08-22,am,8,t,3
33,5,125,2016-08-18,2016-08-22,am,8,t,4
34,1,125,2016-08-18,2016-08-22,pm,8,t,3
35,4,125,2016-08-18,2016-08-22,pm,8,t,4
